date_time	B.1	B.1.1	B.1.1.306	B.1.1.7	B.1.311	B.1.351	B.1.36.29	B.1.525	B.1.617	B.1.617.1	B.1.617.2	B.1.617.3	B.1.618	Other	source
2020-07-27T23:00:00.000Z	0.025641026	0.076923077	0.512820513	0	0	0	0.051282051	0	0	0	0	0	0	0.333333333	
2020-07-28T23:00:00.000Z	0.049382716	0.067901235	0.358024691	0	0	0	0.154320988	0	0	0	0	0	0	0.37037037	
2020-07-29T23:00:00.000Z	0.066666667	0.060606061	0.315151515	0	0	0	0.193939394	0	0	0	0	0	0	0.363636364	
2020-07-30T23:00:00.000Z	0.064516129	0.070967742	0.303225806	0	0	0	0.206451613	0	0	0	0	0	0	0.35483871	
2020-07-31T23:00:00.000Z	0.062146893	0.04519774	0.237288136	0	0	0	0.338983051	0	0	0	0	0	0	0.316384181	
2020-08-01T23:00:00.000Z	0.056390977	0.030075188	0.135338346	0	0	0	0.458646617	0	0	0	0	0	0	0.319548872	
2020-08-02T23:00:00.000Z	0.057553957	0.028776978	0.104316547	0	0	0	0.482014388	0	0	0	0	0	0	0.327338129	
2020-08-03T23:00:00.000Z	0.067615658	0.035587189	0.106761566	0	0	0	0.459074733	0	0	0	0	0	0	0.330960854	
2020-08-04T23:00:00.000Z	0.064377682	0.030042918	0.107296137	0	0	0	0.472103004	0	0	0	0	0	0	0.326180258	
2020-08-05T23:00:00.000Z	0.060606061	0.03030303	0.108225108	0	0	0	0.445887446	0	0	0	0	0	0	0.354978355	
2020-08-06T23:00:00.000Z	0.05982906	0.025641026	0.098290598	0	0	0	0.44017094	0	0	0	0	0	0	0.376068376	
2020-08-07T23:00:00.000Z	0.068627451	0.029411765	0.12745098	0	0	0	0.362745098	0	0	0	0	0	0	0.411764706	
2020-08-08T23:00:00.000Z	0.071942446	0.035971223	0.223021583	0	0	0	0.086330935	0	0	0	0	0	0	0.582733813	
2020-08-09T23:00:00.000Z	0.0625	0.048611111	0.3125	0	0	0	0	0	0	0	0	0	0	0.576388889	
2020-08-10T23:00:00.000Z	0.059139785	0.080645161	0.333333333	0	0	0	0	0	0	0	0	0	0	0.52688172	
2020-08-11T23:00:00.000Z	0.087628866	0.077319588	0.288659794	0	0	0	0	0	0	0	0	0	0	0.546391753	
2020-08-12T23:00:00.000Z	0.069444444	0.083333333	0.300925926	0	0	0	0	0	0	0	0	0	0	0.546296296	
2020-08-13T23:00:00.000Z	0.063492063	0.075396825	0.317460317	0	0	0	0	0	0	0	0	0	0	0.543650794	
